Clasificador,,DT,DT,DT,KNN,KNN,KNN,SVM,SVM,SVM,XGB,XGB,XGB
Metrica,,Exactitud,Sensibilidad,Especificidad,Exactitud,Sensibilidad,Especificidad,Exactitud,Sensibilidad,Especificidad,Exactitud,Sensibilidad,Especificidad
Metodo,Top,,,,,,,,,,,,
Fisher,Top 32,0.624,0.368,0.962,0.589,0.352,0.902,0.749,0.673,0.849,0.775,0.77,0.782
Fisher,Top 8,0.589,0.361,0.891,0.617,0.562,0.689,0.67,0.555,0.822,0.71,0.691,0.734
Mutual_Info,Top 32,0.602,0.354,0.93,0.563,0.308,0.899,0.747,0.667,0.854,0.769,0.765,0.773
Mutual_Info,Top 8,0.641,0.462,0.878,0.617,0.555,0.699,0.675,0.561,0.827,0.714,0.687,0.751
mRMR,Top 32,0.595,0.368,0.894,0.566,0.316,0.897,0.759,0.681,0.861,0.777,0.771,0.784
mRMR,Top 8,0.642,0.425,0.93,0.616,0.543,0.713,0.688,0.583,0.827,0.716,0.691,0.751
DT,Top 32,0.611,0.35,0.956,0.589,0.345,0.913,0.753,0.678,0.852,0.775,0.772,0.778
DT,Top 8,0.634,0.387,0.96,0.634,0.585,0.697,0.688,0.593,0.814,0.712,0.684,0.748
