Top,Clasificador,Clase,Exactitud,Sensibilidad,Especificidad
Top 30,DT,Clase 0,0.686,0.89,0.532
Top 30,DT,Clase 1,0.686,0.532,0.89
Top 30,RF,Clase 0,0.748,0.769,0.732
Top 30,RF,Clase 1,0.748,0.732,0.769
Top 30,KNN,Clase 0,0.68,0.849,0.552
Top 30,KNN,Clase 1,0.68,0.552,0.849
Top 30,SVM,Clase 0,0.746,0.876,0.648
Top 30,SVM,Clase 1,0.746,0.648,0.876
Top 30,XGB,Clase 0,0.748,0.828,0.688
Top 30,XGB,Clase 1,0.748,0.688,0.828
Top 20,DT,Clase 0,0.69,0.893,0.536
Top 20,DT,Clase 1,0.69,0.536,0.893
Top 20,RF,Clase 0,0.738,0.753,0.726
Top 20,RF,Clase 1,0.738,0.726,0.753
Top 20,KNN,Clase 0,0.673,0.819,0.563
Top 20,KNN,Clase 1,0.673,0.563,0.819
Top 20,SVM,Clase 0,0.734,0.862,0.637
Top 20,SVM,Clase 1,0.734,0.637,0.862
Top 20,XGB,Clase 0,0.725,0.805,0.665
Top 20,XGB,Clase 1,0.725,0.665,0.805
Top 15,DT,Clase 0,0.659,0.838,0.525
Top 15,DT,Clase 1,0.659,0.525,0.838
Top 15,RF,Clase 0,0.725,0.737,0.716
Top 15,RF,Clase 1,0.725,0.716,0.737
Top 15,KNN,Clase 0,0.668,0.793,0.574
Top 15,KNN,Clase 1,0.668,0.574,0.793
Top 15,SVM,Clase 0,0.72,0.858,0.616
Top 15,SVM,Clase 1,0.72,0.616,0.858
Top 15,XGB,Clase 0,0.719,0.788,0.667
Top 15,XGB,Clase 1,0.719,0.667,0.788
