Clasificador,,DT,DT,DT,KNN,KNN,KNN,SVM,SVM,SVM,XGB,XGB,XGB
Metrica,,Exactitud,Sensibilidad,Especificidad,Exactitud,Sensibilidad,Especificidad,Exactitud,Sensibilidad,Especificidad,Exactitud,Sensibilidad,Especificidad
Metodo,Top,,,,,,,,,,,,
Fisher,Top 32,0.68,0.495,0.924,0.656,0.52,0.834,0.722,0.613,0.866,0.776,0.749,0.811
Fisher,Top 8,0.651,0.51,0.838,0.65,0.606,0.706,0.68,0.54,0.865,0.707,0.675,0.75
Mutual_Info,Top 32,0.679,0.494,0.922,0.656,0.52,0.834,0.722,0.613,0.866,0.776,0.749,0.81
Mutual_Info,Top 8,0.666,0.477,0.916,0.647,0.599,0.71,0.675,0.518,0.881,0.714,0.653,0.794
mRMR,Top 32,0.679,0.494,0.923,0.656,0.52,0.834,0.722,0.613,0.866,0.776,0.75,0.811
mRMR,Top 8,0.679,0.541,0.862,0.658,0.581,0.76,0.71,0.602,0.853,0.749,0.72,0.788
DT,Top 32,0.679,0.495,0.923,0.656,0.52,0.834,0.722,0.613,0.866,0.775,0.75,0.809
DT,Top 8,0.686,0.498,0.934,0.683,0.625,0.759,0.728,0.629,0.858,0.764,0.728,0.811
