Top,Clasificador,Clase,Exactitud,Sensibilidad,Especificidad
Top 30,DT,Clase 0,0.711,0.918,0.555
Top 30,DT,Clase 1,0.711,0.555,0.918
Top 30,RF,Clase 0,0.793,0.813,0.779
Top 30,RF,Clase 1,0.793,0.779,0.813
Top 30,KNN,Clase 0,0.685,0.869,0.546
Top 30,KNN,Clase 1,0.685,0.546,0.869
Top 30,SVM,Clase 0,0.785,0.899,0.698
Top 30,SVM,Clase 1,0.785,0.698,0.899
Top 30,XGB,Clase 0,0.784,0.859,0.727
Top 30,XGB,Clase 1,0.784,0.727,0.859
Top 20,DT,Clase 0,0.703,0.936,0.527
Top 20,DT,Clase 1,0.703,0.527,0.936
Top 20,RF,Clase 0,0.768,0.8,0.744
Top 20,RF,Clase 1,0.768,0.744,0.8
Top 20,KNN,Clase 0,0.691,0.815,0.597
Top 20,KNN,Clase 1,0.691,0.597,0.815
Top 20,SVM,Clase 0,0.77,0.899,0.672
Top 20,SVM,Clase 1,0.77,0.672,0.899
Top 20,XGB,Clase 0,0.776,0.856,0.715
Top 20,XGB,Clase 1,0.776,0.715,0.856
Top 15,DT,Clase 0,0.727,0.939,0.567
Top 15,DT,Clase 1,0.727,0.567,0.939
Top 15,RF,Clase 0,0.767,0.805,0.739
Top 15,RF,Clase 1,0.767,0.739,0.805
Top 15,KNN,Clase 0,0.689,0.823,0.588
Top 15,KNN,Clase 1,0.689,0.588,0.823
Top 15,SVM,Clase 0,0.768,0.904,0.665
Top 15,SVM,Clase 1,0.768,0.665,0.904
Top 15,XGB,Clase 0,0.772,0.856,0.709
Top 15,XGB,Clase 1,0.772,0.709,0.856
