Top,Clasificador,Clase,Exactitud,Sensibilidad,Especificidad
Top 30,DT,Clase 0,0.709,0.915,0.553
Top 30,DT,Clase 1,0.709,0.553,0.915
Top 30,RF,Clase 0,0.789,0.815,0.769
Top 30,RF,Clase 1,0.789,0.769,0.815
Top 30,KNN,Clase 0,0.685,0.869,0.546
Top 30,KNN,Clase 1,0.685,0.546,0.869
Top 30,SVM,Clase 0,0.785,0.899,0.698
Top 30,SVM,Clase 1,0.785,0.698,0.899
Top 30,XGB,Clase 0,0.785,0.86,0.729
Top 30,XGB,Clase 1,0.785,0.729,0.86
Top 20,DT,Clase 0,0.702,0.936,0.525
Top 20,DT,Clase 1,0.702,0.525,0.936
Top 20,RF,Clase 0,0.764,0.8,0.736
Top 20,RF,Clase 1,0.764,0.736,0.8
Top 20,KNN,Clase 0,0.691,0.815,0.597
Top 20,KNN,Clase 1,0.691,0.597,0.815
Top 20,SVM,Clase 0,0.77,0.899,0.672
Top 20,SVM,Clase 1,0.77,0.672,0.899
Top 20,XGB,Clase 0,0.782,0.863,0.721
Top 20,XGB,Clase 1,0.782,0.721,0.863
Top 15,DT,Clase 0,0.705,0.928,0.536
Top 15,DT,Clase 1,0.705,0.536,0.928
Top 15,RF,Clase 0,0.763,0.794,0.74
Top 15,RF,Clase 1,0.763,0.74,0.794
Top 15,KNN,Clase 0,0.696,0.817,0.605
Top 15,KNN,Clase 1,0.696,0.605,0.817
Top 15,SVM,Clase 0,0.76,0.894,0.659
Top 15,SVM,Clase 1,0.76,0.659,0.894
Top 15,XGB,Clase 0,0.774,0.851,0.716
Top 15,XGB,Clase 1,0.774,0.716,0.851
